Unixtime,Baseline,CO2,A0,Fig1AkaCOZIR,FIG2,E2V_O3,E2V_NO2,E2V_1,E2V_2_CO_,E2V_3_VOC_,E2V_4,Temp,Rh,BMPtemp,MBPPressure,lat,latNs,lon,lonEw,b1,b2,x___,x____1,x____2,x____3,x____4,b8,onboard1,x____5,x____6,onboard4,statAux1,statSig1,statAux2,statSig2,statAux3,statSig3,statAux4,statSig4,file_data,predicted_NO2,predicted_CO,predicted_NO,predicted_CO2,predicted_COZIR,predicted_VOC,Date
735819.639212963,60.8888888888889,190.111111111111,1023,148.777777777778,148,0,0,0,0,343,0,33.7555555555556,59.6888888888889,33.6,98926.6666666667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,7782.98444444445,NaN,4611.11,NaN,33390.6233333333,NaN,6232.63777777778,0.031428137902443,135.244484432907,0.923199340648455,151.591915715939,-18.1415343915343,14.2353237591328,-0.186484315948602,2014-08-08 15:20:28
735819.63994213,60.1111111111111,193.111111111111,1023,147.111111111111,148,0,0,0,0,343,0,33.8555555555556,59.8777777777778,33.6888888888889,98925,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,6918.39888888889,NaN,4503.46888888889,NaN,32821.1811111111,NaN,6381.94222222222,0.0317047121627482,154.288219136774,0.763280887058928,139.72853608631,1.85846560846566,-12.2197026958936,-0.232780612244897,2014-08-08 15:21:31
735819.640630787,59,193,1023,147,148,0,0,0,0,343,0,33.9,59.575,33.8875,98926.625,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,8986.32625,NaN,4527.34,NaN,32679.6875,NaN,6597.65375,0.0316222345553135,108.739158319348,0.798745321929097,136.780752521495,1.1177248677249,-13.9833711262287,-0.298918178382464,2014-08-08 15:22:30
735819.641331018,59,190,1023,148.444444444444,148.555555555556,0,0,0,0,343.333333333333,0.111111111111111,33.9666666666667,57.5666666666667,33.9777777777778,98923.3333333333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,12729.1655555556,NaN,4465.27555555556,NaN,32279.5166666667,NaN,6588.53888888889,0.030671118964532,26.2977639238515,0.706538451561479,128.443860160384,-18.8822751322751,8.94431846812776,-0.298918178382464,2014-08-08 15:23:31
735819.642019676,58.25,193,1023,147.375,149,0,0,0,0,343.5,0,34,58.05,34,98922.875,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,10603.5125,NaN,4410.1525,NaN,31652.34625,NaN,6521.4825,0.030986338857937,73.1183158083351,0.624644148255051,115.377809813161,1.1177248677249,-8.03099017384775,-0.343561035525321,2014-08-08 15:24:30
735819.642708333,57.4444444444444,190.888888888889,1023,145.888888888889,149,0,0,0,0,343.888888888889,0,34.1,59.3444444444444,34.0555555555556,98927,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,7845.48333333333,NaN,4460.06666666667,NaN,31237.8488888889,NaN,6546.87333333333,0.0318530689379747,133.867856924341,0.698799796251881,106.742448123347,-12.9563492063492,-31.6200554295797,-0.391510770975056,2014-08-08 15:25:30
735819.643396991,64.875,204.125,1023,155.375,149,0,0,0,0,361.125,0,34.2625,59.6375,34.1625,98925.875,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-19191.40625,NaN,14367.18625,NaN,52535.15625,NaN,-9156.2525,0.0323017715878361,729.394059200406,15.4174442522515,550.436351479828,75.2843915343916,118.953136810279,0.0507842025699171,2014-08-08 15:26:29
735819.644085648,137.444444444444,320.333333333333,1023,220.111111111111,149.444444444444,0,0,0,0,478.555555555556,0,34.4666666666667,58.8111111111111,34.2111111111111,98929.7777777778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-96329.8633333333,NaN,101095.487777778,NaN,87847.2255555556,NaN,-56819.4455555556,0.0322167047969373,2428.47901698308,144.266503125788,1286.10446201224,850.006613756614,1146.51045603427,4.37039399092971,2014-08-08 15:27:29
735819.644775752,172.375,422.75,1023,278.25,149.875,0,0,0,0,488.125,0.125,34.6875,58.7875,34.375,98932,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-67033.20375,NaN,110423.83,NaN,92097.66125,NaN,-46369.14,0.0326004171916975,1783.17814510349,158.125279269337,1374.6552056465,1532.78439153439,2069.3499622071,6.44959372637944,2014-08-08 15:28:28
735819.645474537,181,383.222222222222,1023,270.222222222222,150,0,0,0,0,508,0.111111111111111,34.8777777777778,58.4555555555556,34.4,98925.6666666667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-5720.48555555556,NaN,100432.293333333,NaN,83536.4611111111,NaN,-14868.0577777778,0.0327622732660211,432.677744344801,143.281219446626,1196.29686941964,1269.26587301587,1941.92491811539,6.9629865835223,2014-08-08 15:29:29
