Unixtime,Baseline,CO2,A0,Fig1akaCOZIR,FIG2,E2V_O3,E2V_NO2,E2V_1,E2V_2_CO_,E2V_3_VOC_,E2V_4,Temp,Rh,BMPtemp,MBPPressure,lat,latNs,lon,lonEw,b1,b2,x___,x____1,x____2,x____3,x____4,b8,onboard1,x____5,x____6,onboard4,statAux1,statSig1,statAux2,statSig2,statAux3,statSig3,statAux4,statSig4,file_data,predicted_NO2,predicted_CO,predicted_NO,predicted_CO2,predicted_COZIR,predicted_VOC,Date
735663.659363426,15,181,1023,110,165,0,0,0,0,366,0,39.6,19.3,48.5,98429,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,3328.12,NaN,42390.62,NaN,36140.62,NaN,47812.5,0.0140599489207002,-10.6323119188504,0.0704362698412701,-24.7628869047618,20.1279933938893,27.2108843537414,0.285714285714286,2014-03-05 15:49:29
735663.660063657,14.5,181.5,1023,110,166,0,0,0,0,367.5,0,40,18.3,48.8,98426.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,2601.56,NaN,42007.81,NaN,35703.125,NaN,50882.81,0.0136198947103008,10.8635460693153,0.0279018253968251,-33.8773660714285,23.7407101568951,27.2108843537414,-0.214285714285714,2014-03-05 15:50:29
735663.660752315,14,179,1023,110,167,0,0,0,0,369,0,40.4,18.4,49.1,98430,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,2843.75,NaN,42093.75,NaN,35281.25,NaN,49625,0.0139888918333363,3.69816145393069,0.0374507142857142,-42.6664285714285,5.67712634186617,27.2108843537414,-0.714285714285714,2014-03-05 15:51:29
735663.661440972,14.5,179.5,1023,110,167.5,0,0,0,0,371,0,40.75,18.1,49.3,98426,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,2937.495,NaN,41929.685,NaN,34671.87,NaN,50328.125,0.0140197640242194,0.924640743871523,0.0192212698412695,-55.3618452380952,9.28984310487195,27.2108843537414,-0.214285714285714,2014-03-05 15:52:28
735663.66212963,15,180,1023,110,168,0,0,0,0,373,0,41.2,19,49.5,98426,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,2484.37,NaN,41937.5,NaN,35546.87,NaN,48015.62,0.0150720721120746,14.3307058326289,0.0200896031746031,-37.1326785714285,12.9025598678777,27.2108843537414,0.285714285714286,2014-03-05 15:53:28
735663.662858796,73,406,1023,215,169,0,0,0,0,629,0,41.5,19.1,49.7,98425,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-4937.5,NaN,1812343.75,NaN,80609.38,NaN,-145125,0.0153937086173123,233.912658495351,196.73189515873,901.669613095238,1645.85053674649,1693.87755102041,58.2857142857143,2014-03-05 15:54:31
735663.663547454,30,344.5,1023,196.5,170,0,0,0,0,581,0,41.85,18.1,49.7,98428,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,1828.13,NaN,1197742.185,NaN,55281.25,NaN,-75570.315,0.0148590211511989,33.7460904480135,128.442832380952,374.000238095238,1201.48637489678,1400.22675736961,15.2857142857143,2014-03-05 15:55:30
735663.664236111,29,316,1023,189,171,0,0,0,0,594,0,42.2,17.5,49.7,98428,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,1250,NaN,1262609.37,NaN,50796.87,NaN,-85156.25,0.014633372502037,50.850528317836,135.650297380952,280.575654761905,995.56151940545,1281.179138322,14.2857142857143,2014-03-05 15:56:30
735663.664924768,32,336,1023,200.5,172,0,0,0,0,642,0,42.5,17.5,49.7,98423.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,609.38,NaN,2047984.37,NaN,52507.81,NaN,-206578.125,0.0148662316553815,69.8037827557058,222.914186269841,316.220238095238,1140.07018992568,1463.71882086168,17.2857142857143,2014-03-05 15:57:29
735663.665625,33,369,1023,217,172,0,0,0,0,620,0,42.7,17.4,49.7,98428,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-4406.25,NaN,2047984.37,NaN,62625,NaN,-220609.37,0.0149362571954798,218.195202874049,222.914186269841,526.995029761905,1378.50949628406,1725.62358276644,18.2857142857143,2014-03-05 15:58:30
735663.666313657,28,391.5,1023,237,173,0,0,0,0,610,0,43,17.3,49.7,98432.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-11742.185,NaN,2047984.37,NaN,68421.88,NaN,-233671.875,0.0150844971177149,435.234699915469,222.914186269841,647.763363095238,1541.08175061932,2043.08390022676,13.2857142857143,2014-03-05 15:59:29
735663.667002315,27,426,1023,247,173,0,0,0,0,586,0,43.3,17.3,49.7,98428,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-18125,NaN,2047984.37,NaN,70593.75,NaN,-193953.12,0.015323150629189,624.075380388842,222.914186269841,693.010654761905,1790.35920726672,2201.81405895692,12.2857142857143,2014-03-05 16:00:29
735663.667690972,24.5,443,1023,256,174,0,0,0,0,559.5,0,43.5,17,49.7,98425,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-19687.5,NaN,2047984.37,NaN,67625.005,NaN,-151828.125,0.0152155474692363,670.30319103973,222.914186269841,631.161800595238,1913.19157720892,2344.67120181406,9.78571428571429,2014-03-05 16:01:28
735663.66837963,21,442,1023,260,174,0,0,0,0,539,0,43.7,17,49.6,98425,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-23437.5,NaN,1908250,NaN,61265.62,NaN,-107453.13,0.0153746257500954,781.24993660186,207.38814515873,498.674613095238,1905.96614368291,2408.16326530612,6.28571428571429,2014-03-05 16:02:28
735663.669068287,19,432,1023,256,175,0,0,0,0,525.5,0,43.9,16.7,49.65,98430.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-19023.44,NaN,1790851.56,NaN,56570.31,NaN,-63281.25,0.015260133423937,650.6564454776,194.343874047619,400.855654761905,1833.71180842279,2344.67120181406,4.28571428571429,2014-03-05 16:03:27
735663.669768519,18,420,1023,250,176,0,0,0,0,522,0,44.1,16.8,49.8,98428,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-10437.5,NaN,1828828.12,NaN,55125,NaN,-36515.62,0.0155119432615443,396.634551986475,198.563491825397,370.745029761905,1747.00660611065,2249.43310657596,3.28571428571429,2014-03-05 16:04:28
735663.670497685,18,415,1023,250,176,0,0,0,0,515,0,44.2,16.5,49.8,98425,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-8796.87,NaN,1768468.75,NaN,52625,NaN,-12359.37,0.0153145311851997,348.095202874049,191.85689515873,318.661696428571,1710.87943848059,2249.43310657596,3.28571428571429,2014-03-05 16:05:31
735663.671186343,18,412,1023,245,176,0,0,0,0,504,0,44.4,16.3,49.8,98425,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-7906.245,NaN,1583429.685,NaN,51710.935,NaN,15281.25,0.0152862774261531,321.745350803043,171.296999047619,299.618675595238,1689.20313790256,2170.06802721088,3.28571428571429,2014-03-05 16:06:30
735663.671875,17,407,1023,240,177,0,0,0,0,493,0,44.6,16.6,49.9,98430,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-6515.62,NaN,1330328.12,NaN,49390.62,NaN,40296.87,0.0157285288450761,280.602599323753,143.174602936508,251.278779761905,1653.0759702725,2090.70294784581,2.28571428571429,2014-03-05 16:07:30
735663.672563657,17,394,1023,240.5,177,0,0,0,0,487,0,44.75,16.75,50.2,98430,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-6226.56,NaN,1251390.625,NaN,50476.56,NaN,52070.31,0.0159939809768138,272.050528317836,134.40377015873,273.902529761905,1559.14533443435,2098.63945578231,2.28571428571429,2014-03-05 16:08:29
