Unixtime,Baseline,CO2,A0,Fig1AkaCOZIR,FIG2,E2V_O3,E2V_NO2,E2V_1,E2V_2_CO_,E2V_3_VOC_,E2V_4,Temp,Rh,BMPtemp,MBPPressure,lat,latNs,lon,lonEw,b1,b2,x___,x____1,x____2,x____3,x____4,b8,onboard1,x____5,x____6,onboard4,statAux1,statSig1,statAux2,statSig2,statAux3,statSig3,statAux4,statSig4,file_data,predicted_NO2,predicted_CO,predicted_NO,predicted_CO2,predicted_COZIR,predicted_VOC,Date
735930.659380787,20.875,199.375,1023,181.375,167,0,0,0,0,308.625,0,37.8375,28.1,42.625,98546,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,122666.0175,NaN,5687.4975,NaN,73900.3925,NaN,134.76875,0.0185943213582145,1093.35286146948,0.700135537303121,-65.5892305307537,-8.63095238095241,-85.6953892668178,-0.318936602418745,2014-11-27 15:49:30
735930.660069444,20.3333333333333,198.222222222222,1023,177.888888888889,167.777777777778,0,0,0,0,310,0,37.9444444444444,27.9,42.7888888888889,98549,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,123361.113333333,NaN,5479.16333333333,NaN,72723.96,NaN,126.736666666667,0.0185687330263632,1078.04238055905,0.390621101607583,-90.0982409474203,-16.3161375661376,-141.030486268581,-0.351178665910809,2014-11-27 15:50:30
735930.660768229,20.625,199.625,1023,180.75,168,0,0,0,0,310.5,0.125,38.125,27.8625,42.925,98544.125,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,121626.95625,NaN,5349.60875,NaN,71638.67375,NaN,132.815,0.0187268667601367,1116.23967314349,0.198146605495067,-112.708371155754,-6.96428571428574,-95.6160241874527,-0.333817554799698,2014-11-27 15:51:30
735930.661458333,20.2222222222222,204.222222222222,1023,181.777777777778,168.666666666667,0,0,0,0,311.555555555556,0.111111111111111,38.2555555555556,27.2111111111111,43,98543,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,122000.001111111,NaN,5965.27444444445,NaN,70776.0444444444,NaN,140.63,0.0184188537350474,1108.02282598245,1.11281856277399,-130.679815021495,23.6838624338625,-79.3020912068531,-0.357792422524565,2014-11-27 15:52:30
735930.662146991,20,189.875,1023,177.375,169,0,0,0,0,312,0,38.375,26.9375,43.0125,98544.875,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,120601.56625,NaN,7808.5925,NaN,69884.76875,NaN,173.8325,0.0183513555969674,1138.82535596287,3.85136863788253,-149.248058655754,-71.9642857142858,-149.187452758881,-0.371019935752079,2014-11-27 15:53:29
735930.662835648,20,200.666666666667,1023,181.444444444444,169.333333333333,0,0,0,0,313.666666666667,0,38.5333333333333,26.7333333333333,43.0777777777778,98543.3333333333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,119109.378888889,NaN,6590.27444444445,NaN,72470.4888888889,NaN,147.572222222222,0.0183688661870596,1171.69291898294,2.04135815570224,-95.3788890955684,-0.0198412698413601,-84.5930964978581,-0.371019935752079,2014-11-27 15:54:29
735930.663530093,47.5,271,1023,233.625,170,0,0,0,0,352.625,0,38.6375,28.3875,43.1375,98545.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,62318.3625,NaN,41154.2975,NaN,175142.57875,NaN,152.345,0.0196149103196553,2422.59636367212,53.3918603924509,2043.62298301091,468.869047619048,743.669690098262,1.26588482615268,2014-11-27 15:55:29
735930.664224537,94.6666666666667,612.333333333333,1023,462.111111111111,170,0,0,0,0,408.777777777778,0,38.7777777777778,31.5333333333333,43.1555555555556,98547.2222222222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-71781.2511111111,NaN,104583.334444444,NaN,315633.678888889,NaN,149.307777777778,0.0219534978729447,5376.33234629571,147.626055823211,4970.5209025711,2744.4246031746,4370.4333585286,4.07342450869237,2014-11-27 15:56:29
735930.664913195,121.125,901.875,1023,657.75,170.875,0,0,0,0.125,441.125,0,38.8875,34.0625,43.1625,98546.75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-262685.54375,NaN,137453.12375,NaN,360867.185,NaN,154.2975,0.0238548898729576,9581.27271279106,196.459497073479,5912.88561321925,4674.70238095238,7475.81254724112,5.64832530234316,2014-11-27 15:57:28
735930.665601852,134.222222222222,941.777777777778,1023,681,171,0,0,0,0,517.888888888889,0,39.0222222222222,32.4777777777778,43.1,98543.6666666667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-268124.997777778,NaN,170923.608888889,NaN,279401.038888889,NaN,142.365555555556,0.0229111759822052,9701.08447551745,246.185370107038,4215.67423590443,4940.7208994709,7844.86016628874,6.42792186318972,2014-11-27 15:58:28
