Unixtime,Baseline,CO2,A0,Fig1akaCOZIR,FIG2,E2V_O3,E2V_NO2,E2V_1,E2V_2_CO_,E2V_3_VOC_,E2V_4,Temp,Rh,BMPtemp,MBPPressure,lat,latNs,lon,lonEw,b1,b2,x___,x____1,x____2,x____3,x____4,b8,onboard1,x____5,x____6,onboard4,statAux1,statSig1,statAux2,statSig2,statAux3,statSig3,statAux4,statSig4,file_data,predicted_NO2,predicted_CO,predicted_NO,predicted_CO2,predicted_COZIR,predicted_VOC,Date
735658.41146412,26,188,1023,116,151,0,0,0,0,0,0,32.3,15.45,35.5,99068.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-1593.755,NaN,213921.87,NaN,24437.505,NaN,28234.375,0.00748548442330108,28.8594674556213,10.9099699206349,67.8711309523809,5.16102394715117,-1.13378684807253,-1.57142857142857,2014-02-28 09:52:30
735658.412152778,30,195,1023,119,152,0,0,0,0,0,0,32.4,16,35.6,99070,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-1125,NaN,209296.87,NaN,22671.88,NaN,27921.88,0.00779573141248513,14.9909763313609,10.396081031746,31.0872767857143,55.7390586292321,46.4852607709751,2.42857142857143,2014-02-28 09:53:30
735658.412841435,28.5,188,1023,117.5,152,0,0,0,0,0,0,32.5,16.25,35.7,99074.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,0,NaN,58640.62,NaN,19312.5,NaN,39585.935,0.00796197360286486,-18.2930473372781,-6.3435023015873,-38.8998065476191,5.16102394715117,22.6757369614513,0.928571428571427,2014-02-28 09:54:29
735658.413530093,25,182,1023,113,152,0,0,0,0,0,0,32.5,15.3,35.6,99073,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-15.63,NaN,43671.87,NaN,18640.63,NaN,45156.25,0.00749661787655916,-17.8306213017752,-8.00669674603174,-52.8970982142857,-38.1915772089182,-48.7528344671202,-2.57142857142857,2014-02-28 09:55:29
735658.41421875,33.5,180,1023,115.5,152,0,0,0,0,0,0,32.6,15.3,35.7,99071.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-1375,NaN,246703.12,NaN,27382.815,NaN,22828.125,0.0075391144471412,22.387426035503,14.552331031746,129.231755952381,-52.6424442609413,-9.07029478458047,5.92857142857143,2014-02-28 09:56:28
735658.414907407,32,201,1023,124,152,0,0,0,0,0,0,32.6,15.4,35.8,99073,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-1171.88,NaN,298328.12,NaN,23375,NaN,20156.25,0.00758827481408158,16.3779585798817,20.2884421428571,45.7356101190476,99.0916597853015,125.850340136054,4.42857142857143,2014-02-28 09:57:28
735658.415636574,72,200,1023,124,152,0,0,0,0,0,0,32.7,17.1,36,99072,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-1437.5,NaN,125984.38,NaN,19953.13,NaN,31484.38,0.00847362791451155,24.2365384615385,1.1391376984127,-25.5533482142857,91.8662262592899,125.850340136054,44.4285714285714,2014-02-28 09:58:31
735658.416325232,92,199,1023,123,152,0,0,0,0,0,0,32.8,16.55,36,99072,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-1656.25,NaN,84484.38,NaN,18492.19,NaN,34882.81,0.00824738036909805,30.7084319526627,-3.47197341269841,-55.9895982142857,84.6407927332783,109.977324263039,64.4285714285714,2014-02-28 09:59:30
735658.417013889,73,192,1023,119,152,0,0,0,0,0,0,32.8,16.5,36.1,99075,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-2281.25,NaN,98906.25,NaN,18734.38,NaN,32718.75,0.00822221483514055,49.1995562130178,-1.86954341269841,-50.9439732142857,34.0627580511974,46.4852607709751,45.4285714285714,2014-02-28 10:00:30
735658.41771412,30.5,195.5,1023,121,152,0,0,0,0,0,0,32.9,16.05,36.1,99073.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-1710.94,NaN,207867.185,NaN,21664.065,NaN,25570.315,0.00804321019501195,32.3264792899408,10.2372271428571,10.091130952381,59.3517753922379,78.2312925170068,2.92857142857143,2014-02-28 10:01:30
735658.418402778,44,194,1023,121,152,0,0,0,0,0,0,32.9,15.6,36.1,99075,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-1109.38,NaN,80500,NaN,18750,NaN,35531.25,0.0078175812684692,14.5288461538462,-3.9146823015873,-50.6185565476191,48.5136251032205,78.2312925170068,16.4285714285714,2014-02-28 10:02:30
735658.419091435,31.5,194,1023,120,153,0,0,0,0,0,0,33,15.95,36.2,99076.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-1367.19,NaN,139945.31,NaN,20328.125,NaN,34617.185,0.0080379080579947,22.1563609467456,2.69035214285714,-17.7409523809524,48.5136251032205,62.358276643991,3.92857142857143,2014-02-28 10:03:29
735658.419780093,23,189,1023,121,153,0,0,0,0,0,0,33,15.4,36.1,99072,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-1296.88,NaN,140671.87,NaN,19625,NaN,34984.37,0.00776109131910388,20.0761834319527,2.77108103174603,-32.3893898809524,12.3864574731627,78.2312925170068,-4.57142857142857,2014-02-28 10:04:29
735658.42046875,64,184,1023,119,153,0,0,0,0,0,0,33.05,15.7,36.1,99069,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-1289.065,NaN,47374.995,NaN,17523.44,NaN,40507.81,0.00793477751568596,19.8449704142012,-7.59523841269841,-76.1718898809524,-23.7407101568951,46.4852607709751,36.4285714285714,2014-02-28 10:05:28
735658.421157407,79,178,1023,113,153,0,0,0,0,0,0,33.1,15.9,36.1,99066,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,453.13,NaN,29390.63,NaN,17109.38,NaN,44578.12,0.00805869654216089,-31.6992603550296,-9.59350119047619,-84.7981398809524,-67.0933113129644,-48.7528344671202,51.4285714285714,2014-02-28 10:06:28
735658.421886574,91,177,1023,113,153,0,0,0,0,0,0,33.2,15.8,36.1,99069,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,328.13,NaN,36671.87,NaN,17281.25,NaN,45218.75,0.00805284065013802,-28.0010355029586,-8.78447452380952,-81.2175148809524,-74.318744838976,-48.7528344671202,63.4285714285714,2014-02-28 10:07:31
735658.422575232,100,184,1023,114.5,153,0,0,0,0,0,0,33.2,15.8,36,99072,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,789.065,NaN,26968.75,NaN,17015.625,NaN,45437.495,0.00805259680200787,-41.6381656804734,-9.86259896825397,-86.7513690476191,-23.7407101568951,-24.9433106575963,72.4285714285714,2014-02-28 10:08:30
735658.423263889,77,189,1023,116,154,0,0,0,0,0,0,33.2,15.8,35.9,99066,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-13796.87,NaN,61406.25,NaN,38796.87,NaN,21968.75,0.008053084513037,389.898372781065,-6.03621007936508,367.024568452381,12.3864574731627,-1.13378684807253,49.4285714285714,2014-02-28 10:09:30
735658.423952546,61,296,1023,168,154,0,0,0,0,0,0,33.3,20.25,36,99060,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-81960.94,NaN,183046.875,NaN,225664.06,NaN,-112656.25,0.0103798764557099,2406.58683431953,7.47941492063492,4260.09102678571,785.5078447564,824.263038548753,33.4285714285714,2014-02-28 10:10:29
735658.424652778,93,477,1023,255,154,0,0,0,0,0,0,33.3,17.4,36,99063,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-65406.25,NaN,850906.25,NaN,124171.88,NaN,-108953.13,0.00891873485354095,1916.80310650888,81.6860121428572,2145.67061011905,2093.31131296449,2205.21541950113,65.4285714285714,2014-02-28 10:11:30
735658.425341435,62,400,1023,229,154,0,0,0,0,0,0,33.3,15.3,35.8,99063.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-6546.87,NaN,816249.995,NaN,45562.5,NaN,-34929.685,0.00784229623712493,175.401331360947,77.8353171428571,507.975193452381,1536.9529314616,1792.51700680272,34.4285714285714,2014-02-28 10:12:29
735658.426030093,53,291,1023,186,154,0,0,0,0,0,0,33.3,15.2,35.8,99067,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-3843.75,NaN,747250,NaN,34078.12,NaN,-25250,0.0077907641444703,95.4273668639053,70.168651031746,268.717276785714,749.380677126342,1109.97732426304,25.4285714285714,2014-02-28 10:13:29
735658.42671875,93,243,1023,157.5,154,0,0,0,0,0,0,33.4,15.25,35.9,99067.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-3531.25,NaN,606812.5,NaN,29140.625,NaN,-12867.185,0.00786027963236315,86.1818047337278,54.5644843650794,165.852797619048,402.559867877787,657.596371882086,65.4285714285714,2014-02-28 10:14:28
735658.427407407,39,248,1023,152,154,0,0,0,0,0,0,33.4,15.2,35.9,99063,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-1484.38,NaN,923140.62,NaN,31062.5,NaN,-43312.5,0.00783486411126873,25.6235207100592,89.7120532539683,205.891860119048,438.687035507845,570.294784580499,11.4285714285714,2014-02-28 10:15:28
735658.428136574,40,229,1023,144,154,0,0,0,0,0,0,33.4,14.9,36,99060,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-421.88,NaN,764406.25,NaN,28750,NaN,-31453.13,0.0076804612286239,-5.81139053254438,72.074901031746,157.714776785714,301.403798513625,443.310657596372,12.4285714285714,2014-02-28 10:16:31
