Unixtime,Baseline,CO2,A0,Fig1AkaCOZIR,FIG2,E2V_O3,E2V_NO2,E2V_1,E2V_2_CO_,E2V_3_VOC_,E2V_4,Temp,Rh,BMPtemp,MBPPressure,lat,latNs,lon,lonEw,b1,b2,x___,x____1,x____2,x____3,x____4,b8,onboard1,x____5,x____6,onboard4,statAux1,statSig1,statAux2,statSig2,statAux3,statSig3,statAux4,statSig4,file_data,predicted_NO2,predicted_CO,predicted_NO,predicted_CO2,predicted_COZIR,predicted_VOC,Date
735979.602430556,13.6666666666667,200.333333333333,1023,182.777777777778,158.222222222222,0,0,0,0,242.222222222222,0,35.2111111111111,14.8666666666667,36.3666666666667,98302.8888888889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,103062.502222222,NaN,4390.62,NaN,44213.5388888889,NaN,154.514444444444,0.00854115051625985,485.432636485211,-2.06284908667077,19.3778461888228,-7.78439153439137,-23.0221718316958,-0.167410714285714,2015-01-15 14:27:30
735979.603119213,14.25,199.25,1023,183.25,158.625,0,0,0,0,242.375,0,35.2375,14.8,36.5,98298,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,101755.8625,NaN,4402.3425,NaN,43662.1075,NaN,156.25,0.00851568355540847,514.213247106846,-2.04543339806581,7.88969225363765,-15.0066137566137,-15.5265810027716,-0.132688492063492,2015-01-15 14:28:29
735979.60380787,13.5555555555556,197,1023,182,158.333333333333,0,0,0,0,242.777777777778,0,35.2555555555556,14.7222222222222,36.5444444444445,98296.5555555556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,100590.28,NaN,4395.83111111111,NaN,43248.2633333333,NaN,157.986666666667,0.0084795123561628,539.886870454864,-2.05510712988707,-0.732061218584477,-30.0066137566137,-35.3678508440414,-0.174024470899471,2015-01-15 14:29:29
735979.604496528,13.5,196.375,1023,181,158.875,0,0,0,0,243,0.125,35.2875,14.7,36.65,98297,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,99164.06625,NaN,4390.6225,NaN,42697.2625,NaN,156.2525,0.00848163140006413,571.301270234599,-2.0628453725124,-12.2112452463624,-34.1732804232803,-51.2408667170573,-0.177331349206349,2015-01-15 14:30:28
735979.605194187,13.2222222222222,200.666666666667,1023,181.222222222222,158.777777777778,0,0,0,0,243.111111111111,0,35.3,14.7888888888889,36.6666666666667,98294,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,97725.6966666667,NaN,4373.26111111111,NaN,42664.9277777778,NaN,161.46,0.00853907351025551,602.983419647228,-2.08863855166689,-12.8848852926587,-5.56216931216928,-47.713529856387,-0.193865740740741,2015-01-15 14:31:28
735979.605885417,24.375,217.625,1023,193.625,158.75,0,0,0,0,260,0,35.3,15.975,36.7125,98292.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,71248.04875,NaN,12560.54625,NaN,114859.37625,NaN,164.065,0.00922407234729414,1186.19152353856,10.0749109044153,1491.1661245453,107.493386243386,149.155958679768,0.469990079365079,2015-01-15 14:32:28
735979.606574074,48.8888888888889,381.222222222222,1023,296.555555555556,159,0,0,0,0.111111111111111,346.555555555556,0,35.3222222222222,17.2,36.8444444444444,98289.3333333333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,17258.6788888889,NaN,46666.6644444444,NaN,134090.275555556,NaN,166.67,0.00994391365853264,2375.38469228551,60.7451206718264,1891.80986007771,1198.14153439153,1782.97430083144,1.92915013227513,2015-01-15 14:33:28
735979.607303241,43.6666666666667,459,1023,350.666666666667,158.888888888889,0,0,0,0,305.111111111111,0,35.4,16.9111111111111,36.9222222222222,98293.6666666667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,32812.5011111111,NaN,33178.82,NaN,116657.986666667,NaN,168.406666666667,0.00981854103696537,2032.78948915286,40.7067245279482,1528.63717489253,1716.66005291005,2641.88082640464,1.61830357142857,2015-01-15 14:34:31
735979.607994792,45.75,456.75,1023,365.5,159,0,0,0,0,294,0,35.4,17.5375,36.9625,98296,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,6671.875,NaN,28912.1125,NaN,152662.10875,NaN,169.92625,0.0101819788673249,2608.57420525663,34.367833575638,2278.72305162864,1701.66005291005,2877.33056185437,1.74231150793651,2015-01-15 14:35:30
735979.60869213,63.3333333333333,583.666666666667,1023,456.888888888889,158.888888888889,0,0,0,0,307.111111111111,0.111111111111111,35.4,18.6555555555556,37,98292.3333333333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-7215.27777777778,NaN,37638.8877777778,NaN,145878.47,NaN,170.142222222222,0.0108315072432379,2914.45862767464,47.3328837580444,2137.39724433697,2547.77116402116,4327.94784580499,2.78893849206349,2015-01-15 14:36:31
735979.609380787,88.25,610.125,1023,466.25,159,0,0,0,0.25,333.125,0,35.45,18.6,37.075,98291.875,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-24876.95125,NaN,53681.64,NaN,146689.45375,NaN,171.88,0.0108291428630005,3303.48227243724,71.1670127466378,2154.29273912864,2724.16005291005,4476.53691106072,4.27207341269841,2015-01-15 14:37:30
735979.610069445,113.333333333333,713.111111111111,1023,548.333333333333,159,0,0,0,0,359,0.111111111111111,35.5,19.8111111111111,37.1222222222222,98288.8888888889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-52590.2777777778,NaN,74668.4044444444,NaN,152493.054444444,NaN,171.878888888889,0.0115664778720524,3913.90796688169,102.346279489238,2275.20108692956,3410.73412698413,5779.44696397077,5.76512896825397,2015-01-15 14:38:30
735979.610758102,65.5,666.125,1023,525.625,159,0,0,0,0,321.625,0,35.5,18.2125,37.2,98288.625,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-14441.40625,NaN,44771.48,NaN,125269.53125,NaN,171.88,0.0106331766368945,3073.62445305398,57.929514603717,1708.04435371197,3097.49338624339,5418.99722852104,2.91790674603175,2015-01-15 14:39:29
735979.611458333,78.5555555555556,621.222222222222,1023,504,159,0,0,0,0,352.444444444444,0.111111111111111,35.5,18.4888888888889,37.1888888888889,98286.4444444444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-38029.5111111111,NaN,57793.4011111111,NaN,125951.391111111,NaN,168.406666666667,0.0107947828684101,3593.18623413573,77.2757055279647,1722.24976748512,2798.14153439153,5075.74326026707,3.69502314814815,2015-01-15 14:40:30
735979.612146991,73.75,620.125,1023,502.5,159,0,0,0,0,354.25,0,35.5,18.25,37.325,98288.25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-32349.60875,NaN,53457.0275,NaN,125646.485,NaN,177.7375,0.0106551112699976,3468.07825261345,70.8333141877312,1715.89755683697,2790.82671957672,5051.93373645755,3.40897817460317,2015-01-15 14:41:29
735979.612835648,67.8888888888889,609.444444444444,1023,492.666666666667,159,0,0,0,0,383.888888888889,0,35.5,17.9888888888889,37.3777777777778,98287.6666666667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-18708.3333333333,NaN,53300.3444444444,NaN,116579.862222222,NaN,178.821111111111,0.0105027260443774,3167.60963110097,70.6005359147323,1527.00958229993,2719.62301587302,4895.84908037289,3.06010251322751,2015-01-15 14:42:29
735979.613524306,68.625,536.125,1023,438.125,159,0,0,0,0,401,0,35.5,16.7375,37.3,98285.375,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,6019.53375,NaN,49658.2,NaN,95861.33125,NaN,173.8325,0.00977233652611568,2622.94295525663,65.1895354030039,1095.37352037864,2230.82671957672,4030.10833963215,3.10391865079365,2015-01-15 14:43:28
